"Label","Base","Inclusing of shrimp trawl","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"TOTAL_like",7664.49,7686.2,7669.89,7712.11,7664.6,7665.35,7991.84,7664.29,7888.29,7664.27,7569.58,6438.27
"Survey_like",13.0223,15.6309,13.3445,14.1942,13.2657,13.0118,12.9663,13.1022,11.8537,13.107,11.7456,13.4057
"Length_comp_like",854.968,856.561,853.644,866.589,866.776,854.75,854.792,855.388,1003.22,855.395,762.721,234.105
"Age_comp_like",1366.28,1375.95,1372.07,1401.78,1354.4,1366.24,1366.08,1365.93,1427.5,1365.92,1365.85,771.398
"Discard_like",5410.79,5411.5,5410.95,5410.61,5410.78,5411.87,5738.51,5410.78,5410.65,5410.78,5410.77,5410.83
"Recruitment_like",17.8401,25.7617,18.5013,15.8296,17.8701,17.8779,17.9036,17.5522,24.7893,17.5375,17.05,6.7556
"Forecast_Recruitment_like",0.600495,0.738713,0.618205,0.538397,0.552025,0.601849,0.613408,0.574191,9.38118,0.562943,0.564393,0.312955
"Parm_priors_like",0.983294,0.0587828,0.748513,2.56043,0.9336,0.990164,0.965813,0.949132,0.871311,0.950348,0.854689,1.44568
"Recr_Virgin_millions",34.1029,19.8991,31.2377,56.4825,33.0269,34.1942,34.1078,33.6912,30.2897,33.7087,36.3933,44.2649
"SR_LN(R0)",10.4371,9.89843,10.3494,10.9417,10.4051,10.4398,10.4373,10.425,10.3186,10.4255,10.5021,10.6979
"NatM_uniform_Fem_GP_1",0.124599,0.1,0.124,0.152084,0.122745,0.124822,0.124457,0.124677,0.111169,0.124718,0.126522,0.133903
"NatM_uniform_Mal_GP_1",0.136775,0.1,0.129,0.160295,0.135952,0.136907,0.136507,0.136928,0.122246,0.136968,0.139535,0.147367
"L_at_Amax_Fem_GP_1",49.5239,49.4029,49.5081,49.6171,49.3649,49.5221,49.5217,49.5257,49.3911,49.5263,49.4643,49.4644
"L_at_Amax_Mal_GP_1",43.6366,43.4625,43.5272,43.0537,43.8377,43.6359,43.6363,43.632,43.2404,43.632,43.6488,43.5511
"VonBert_K_Fem_GP_1",0.181107,0.18449,0.181983,0.171904,0.187474,0.18115,0.181137,0.18108,0.177839,0.18107,0.182715,0.17774
"VonBert_K_Mal_GP_1",0.244638,0.244983,0.244158,0.256352,0.243825,0.24464,0.244621,0.24483,0.255832,0.244832,0.243391,0.25687
"SmryBio_unfished",151584,139734,145723,174575,150947,151575,152018,149534,165090,149523,156464,170438
"SSB_Virgin_thousand_mt",81.734,72.835,75.759,88.4,81.889,81.659,81.93,80.652,90.374,80.64,84.482,90.46
"SSB_2025_thousand_mt",40.603,19.951,35.214,62.364,38.613,40.539,40.586,44.11,56.283,44.088,44.929,47.618
"Bratio_2025",0.496774,0.273926,0.464811,0.705474,0.471535,0.496435,0.495376,0.546925,0.622778,0.546723,0.531814,0.526401
"SPRratio_2024",1.25706,1.65721,1.31247,0.852342,1.30817,1.2566,1.25731,1.21014,1.39723,1.21025,1.19274,1.12035
