"Label","Base","Fixed natural mortality to 2015 prior","Fixed natural mortality to 2011 prior","Midwatertrawl asymptotic selectivity forced","Logistic selectivity curves for surveys","Inclusing of shrimp trawl","New Washington catch reconstruction","Fixed steepness at 0.4","Fixed steepness at 0.6","Fixed steepness at 0.798 (2015 assessment)","Exclusion of triennial survey","Francis weighting"
"TOTAL_like",7664.49,7686.2,7669.89,7712.11,7664.62,7664.49,7664.49,7664.27,7887.6,7664.27,7569.58,6437.05
"Survey_like",13.0223,15.6309,13.3445,14.1942,13.2599,13.0223,13.0223,13.107,11.8615,13.107,11.7457,13.446
"Length_comp_like",854.968,856.561,853.644,866.589,866.765,854.968,854.968,855.395,1003.17,855.395,762.721,232.964
"Age_comp_like",1366.28,1375.95,1372.07,1401.78,1354.41,1366.28,1366.28,1365.92,1426.97,1365.92,1365.85,771.497
"Discard_like",5410.79,5411.5,5410.95,5410.61,5410.78,5410.79,5410.79,5410.78,5410.65,5410.78,5410.77,5410.84
"Recruitment_like",17.8401,25.7617,18.5012,15.8296,17.889,17.8401,17.8401,17.5376,24.7639,17.5375,17.05,6.51875
"Forecast_Recruitment_like",0.600503,0.738713,0.618184,0.53839,0.563127,0.600503,0.600503,0.56294,9.28346,0.562942,0.56439,0.30996
"Parm_priors_like",0.983289,0.0587831,0.748514,2.56044,0.932127,0.983289,0.983289,0.950348,0.872123,0.95035,0.854689,1.4714
"Recr_Virgin_millions",34.1028,19.8991,31.2377,56.4826,33.0137,34.1028,34.1028,33.7087,30.2895,33.7087,36.3933,44.5555
"SR_LN(R0)",10.4371,9.89843,10.3494,10.9417,10.4047,10.4371,10.4371,10.4255,10.3186,10.4255,10.5021,10.7045
"NatM_uniform_Fem_GP_1",0.124599,0.1,0.124,0.152084,0.122704,0.124599,0.124599,0.124718,0.111207,0.124718,0.126522,0.134507
"NatM_uniform_Mal_GP_1",0.136775,0.1,0.129,0.160295,0.135912,0.136775,0.136775,0.136968,0.122314,0.136968,0.139535,0.147942
"L_at_Amax_Fem_GP_1",49.5239,49.4029,49.5081,49.6171,49.3641,49.5239,49.5239,49.5263,49.3756,49.5263,49.4643,49.4744
"L_at_Amax_Mal_GP_1",43.6366,43.4625,43.5272,43.0537,43.8376,43.6366,43.6366,43.632,43.2369,43.632,43.6488,43.5462
"VonBert_K_Fem_GP_1",0.181107,0.18449,0.181983,0.171904,0.187491,0.181107,0.181107,0.18107,0.178529,0.18107,0.182715,0.177315
"VonBert_K_Mal_GP_1",0.244638,0.244983,0.244158,0.256352,0.243831,0.244638,0.244638,0.244832,0.2565,0.244832,0.243391,0.256715
"SmryBio_unfished",151584,139734,145723,174575,150977,151584,151584,149523,164926,149523,156464,170203
"SSB_Virgin_thousand_mt",81.734,72.835,75.759,88.4,81.91,81.734,81.734,80.64,90.3,80.64,84.482,90.227
"SSB_2025_thousand_mt",40.603,19.951,35.214,62.364,38.632,40.603,40.603,44.088,56.194,44.088,44.929,47.773
"Bratio_2025",0.496774,0.273926,0.46481,0.705475,0.471641,0.496774,0.496774,0.546722,0.6223,0.546723,0.531813,0.529478
"SPRratio_2024",1.25706,1.65721,1.31247,0.852341,1.30808,1.25706,1.25706,1.21025,1.39642,1.21025,1.19274,1.11014
