"Label","Base","Fixed natural mortality to 2015 prior","Fixed natural mortality to 2011 prior","Midwatertrawl asymptotic selectivity forced","Logistic selectivity curves for surveys","Inclusing of shrimp trawl","New Washington catch reconstruction","Exclusion of triennial survey","Francis weighting"
"LIKELIHOOD","Difference from base model","","","","","","","",""
"Total","19053","21.7","5.4","48.1","0.1","186.4","920.8","-94.9","-12566.69"
"Survey","13.015","2.616","0.321","1.174","0.244","8.232","0.393","-1.271","-0.792"
"Length","860.879","1.549","-1.329","11.785","11.697","149.041","80.593","-92.251","-601.104"
"Age","1366.41","9.59","5.78","35.85","-11.82","64.4","20.77","-0.4","-576.279"
"Discards","16793.3","0.7","0.1","-0.2","0","-73.4","685.6","0","-11382.39"
"Recruitment","17.868","7.949","0.66","-2.103","0.032","20.759","1.728","-0.806","-8.657"
"Forecast recruitment","0.605","0.152","0.018","-0.065","-0.049","17.999","0.056","-0.037","2.302"
"Parameter priors","0.976","-0.918","-0.23","1.599","-0.049","-0.873","-0.181","-0.125","0.15"
"PARAMETER","",NA,NA,NA,NA,NA,NA,NA,NA
"Natural mortality (female)","0.125","0.1","0.124","0.152","0.123","0.091","0.121","0.126","0.127"
"Length at Amin (female)","20.645","20.656","20.698","21.314","20.41","21.655","20.99","20.503","21.026"
"Length at Amax (female)","49.522","49.402","49.507","49.621","49.363","49.381","49.417","49.462","49.292"
"CV young (female)","0.116","0.116","0.115","0.105","0.119","0.101","0.11","0.118","0.115"
"CV old (female)","0.048","0.049","0.048","0.051","0.048","0.05","0.048","0.048","0.046"
"vBL k (female)","0.181","0.185","0.182","0.172","0.188","0.177","0.181","0.183","0.178"
"Natural mortality (male)","0.137","0.1","0.129","0.161","0.136","0.101","0.133","0.139","0.139"
"Length at Amin (male)","21.037","21.115","21.088","20.972","21.014","21.262","21.232","21.052","20.464"
"Length at Amax (male)","43.636","43.462","43.527","43.048","43.837","43.27","43.621","43.648","43.238"
"CV young (male)","0.094","0.092","0.093","0.092","0.096","0.09","0.092","0.094","0.106"
"CV old (male)","0.057","0.058","0.058","0.058","0.055","0.059","0.057","0.057","0.052"
"vBL k (male)","0.245","0.245","0.244","0.256","0.244","0.254","0.244","0.243","0.267"
"QUANTITY","","","","","","","","",""
"Virgin recruitment (thousands)","33.951","19.858","31.146","56.675","32.893","15.608","34.018","36.244","43.228"
"ln(R0)","10.433","9.896","10.347","10.945","10.401","9.656","10.435","10.498","10.674"
"SSB unfished (mt)","151093","139437","145285","174544","150464","119558","159978","155974","184036"
"SB0 (thousand mt)","81.479","72.681","75.533","88.332","81.632","67.591","86.68","84.226","98.32"
"SSB 2025 (thousand mt)","40.184","19.733","34.861","62.403","38.231","3.732","41.936","44.508","52.478"
"B ratio 2025","0.493","0.271","0.462","0.706","0.468","0.055","0.484","0.528","0.534"
"SPR ratio 2025","1.267","1.665","1.322","0.853","1.318","1.974","1.261","1.202","1.359"
