"Quantity","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","176.61","165.9","211.99","270.35","469.75","721.93","879.62","1039.24","6345.89","10493.03","NA"
"Total Dead","186.205882","178.844434","212.629001","271.266508","472.74838","725.76755","884.79272","1045.380071","6395.40549","10588.13603","NA"
"(1-SPR)/(1-SPR_50%)","0.038314","0.035262","0.0399446","0.0489567","0.0767041","0.108014","0.118315","0.130353","0.606735","0.854601",NA
"Exploitation Rate","0.00184589","0.00167352","0.00198537","0.00215091","0.00361758","0.00502936","0.00609133","0.00733571","0.037365","0.0579224",NA
"Age 4+ Biomass (mt)","100876","106867","107098","126117","130681","144306","145255","142506","171160","182799","170379"
"Spawning Biomass (mt)","48958.4","50863.9","53402.9","56191.7","60046.7","64420.7","68546.6","72781.9","76823.6","79032","80909.5"
"Lower Interval","29603.755652667","31198.7973575158","33186.2634922663","35332.3913017356","38128.0307680917","41214.5304266473","44090.1694009092","46970.1543055998","49668.494990596","50137.4269543167","49647.8784501877"
"Upper Interval","68313.044347333","70529.0026424842","73619.5365077337","77051.0086982644","81965.3692319083","87626.8695733527","93003.0305990908","98593.6456944002","103978.705009404","107926.573045683","112171.121549812"
"Recruits","21292.5","101007","6739.69","6073.63","240825","101692","34199.7","63176.7","40749.7","37521.5","49256.8"
"Lower Interval","10442.8490389883","60928.8225479126","3219.89874138646","3040.1128075975","144208.971382009","47924.1214634055","14729.2543725467","22368.3884967532","13832.3668730209","12654.1425948766","15883.8114599404"
"Upper Interval","43414.4508416569","167448.075021918","14107.0961991001","12134.0830789934","402171.09982268","215784.088434391","79407.9218476948","178434.64331234","120047.282242692","111257.080572176","152748.75003138"
"Fraction Unfished","0.556377","0.578031","0.606885","0.638578","0.682388","0.732094","0.778983","0.827113","0.873045","0.898142","0.919478"
"Lower Interval","0.411168952280983","0.434327420635516","0.463057158918896","0.494146490011657","0.534391707516576","0.578794828960004","0.620377814461057","0.662047577171615","0.701267484510159","0.7120208800821","0.710347882885592"
"Upper Interval","0.701585047719017","0.721734579364484","0.750712841081104","0.783009509988343","0.830384292483424","0.885393171039996","0.937588185538943","0.992178422828385","1.04482251548984","1.0842631199179","1.12860811711441"
