"Year","BottomTrawl_CA","BottomTrawl_OR","BottomTrawl_WA","MidwaterTrawl_CA","MidwaterTrawl_OR","MidwaterTrawl_WA","Net_CA","Net_WA","HnL_CA","HnL_OR","HnL_WA"
1978,7,0,0,0,0,0,0,0,0,0,0
1979,11,0,0,0,0,0,0,0,0,0,0
1980,27,0,0,0,0,18,0,0,0,0,0
1981,14,3,0,30,20,31,0,0,0,0,0
1982,87,6,0,71,34,40,1,0,4,0,0
1983,151,16,0,45,10,25,5,0,2,0,0
1984,144,20,0,29,12,22,10,0,2,0,0
1985,137,20,0,25,33,16,65,0,3,0,0
1986,106,17,0,22,28,27,53,0,3,0,0
1987,84,27,0,49,62,36,27,0,0,0,0
1988,67,29,6,34,41,14,39,0,2,0,0
1989,75,49,14,30,66,16,75,0,3,0,0
1990,70,58,11,32,62,30,65,0,2,0,0
1991,65,76,20,17,63,15,19,0,9,0,0
1992,45,93,22,4,26,9,21,0,15,0,0
1993,28,67,28,0,49,8,6,0,3,0,0
1994,28,67,13,2,21,15,7,0,1,0,0
1995,8,45,17,3,13,16,0,0,0,0,0
1996,36,32,14,6,11,13,2,0,1,0,0
1997,42,46,11,10,20,19,0,0,9,0,0
1998,27,42,14,2,11,8,2,0,3,0,0
1999,29,27,19,3,18,10,0,0,0,0,0
2000,8,0,2,9,42,19,0,0,3,0,0
2001,2,6,0,4,35,10,0,0,0,0,0
2002,17,8,2,1,15,10,1,0,0,0,0
2003,3,0,0,0,0,5,0,0,0,0,0
2004,3,0,1,0,0,12,0,0,0,0,0
2005,0,2,0,0,0,10,0,0,0,0,0
2006,6,3,1,0,0,8,0,0,2,1,0
2007,6,16,4,0,0,3,0,0,3,1,0
2008,5,18,5,0,0,12,0,0,0,0,0
2009,8,29,0,0,0,14,0,0,0,0,0
2010,7,21,1,0,0,11,0,0,0,2,0
2011,0,5,7,0,1,5,0,0,0,0,0
2012,0,8,5,0,0,7,0,0,0,1,0
2013,0,7,1,0,3,5,0,0,0,0,0
2014,0,4,2,0,1,7,0,0,0,0,0
2015,0,22,0,0,14,4,0,0,0,0,1
2016,0,13,0,0,6,1,0,0,0,0,2
2017,0,36,0,0,31,3,0,0,0,0,3
2018,0,25,7,0,46,4,0,0,0,0,7
2019,0,16,1,0,34,12,0,0,0,0,1
2020,0,15,0,0,25,5,0,0,0,2,0
2021,0,12,2,0,31,6,0,0,0,0,0
2022,0,8,0,0,45,4,0,0,0,0,2
2023,0,5,0,0,48,7,0,0,0,1,5
2024,0,7,0,0,42,7,0,0,0,0,0
